execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance
76,2023-09-07 16:04:51.663081,42.4,73.7,409920,12,True,22.0
64,2023-09-07 16:04:51.747192,41.2,73.7,409920,12,True,26.0
56,2023-09-07 16:04:51.830602,38.0,73.7,409920,12,True,12.0
61,2023-09-07 16:04:51.914745,40.0,73.7,409920,12,True,16.0
72,2023-09-07 16:04:51.999889,41.4,73.7,409920,12,True,6.0
63,2023-09-07 16:04:52.083760,40.7,73.7,409920,12,True,32.0
314,2023-09-07 16:04:52.115171,84.3,73.7,409920,12,True,56.0
62,2023-09-07 16:04:52.198442,40.3,73.7,409920,12,True,10.0
69,2023-09-07 16:04:52.282451,43.0,73.7,409920,12,True,12.0
72,2023-09-07 16:04:52.366993,44.1,73.7,409920,12,True,21.0
60,2023-09-07 16:04:52.451744,39.7,73.7,409920,12,True,31.0
